ig_name,ig_version,resource_type,path,fhir_path,data_type,is_required,transform_kind,mapping_key,reference_target,sort_order,is_active
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseNumber,Practitioner.identifier[0].use,string,true,constant,official,,18,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseNumber,Practitioner.identifier[0].type.coding[0].system,string,true,constant,http://terminology.hl7.org/CodeSystem/v2-0203,,19,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseNumber,Practitioner.identifier[0].type.coding[0].code,string,true,constant,MD,,20,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseSystem,Practitioner.identifier[0].system,string,true,copy,,,30,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseNumber,Practitioner.identifier[0].value,string,true,copy,,,40,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.name,Practitioner.name[0].text,string,true,copy,,,50,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.name,Practitioner.name[0].use,string,true,constant,official,,51,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.gender,Practitioner.gender,string,false,code_map,administrative-gender,,60,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.birthday,Practitioner.birthDate,date,false,copy,,,70,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.telecomSystem,Practitioner.telecom[0].system,string,false,code_map,contact-point-system,,80,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.telecomUse,Practitioner.telecom[0].use,string,false,code_map,contact-point-use,,90,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.telecomValue,Practitioner.telecom[0].value,string,false,copy,,,100,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.address,Practitioner.address[0].text,string,false,copy,,,110,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.qualificationCode,Practitioner.qualification[0].code.coding[0].code,string,false,code_map,practitioner-qualification-code,,120,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.qualificationIssuer,Practitioner.qualification[0].issuer.reference,string,false,build_reference,,Organization,130,true
tw.gov.mohw.twcore,1.0.0,organization,organization.identifierValue,Organization.identifier[0].type.coding[0].system,string,false,constant,http://terminology.hl7.org/CodeSystem/v2-0203,,1,true
tw.gov.mohw.twcore,1.0.0,organization,organization.identifierValue,Organization.identifier[0].type.coding[0].code,string,false,constant,PRN,,2,true
tw.gov.mohw.twcore,1.0.0,organization,organization.idSystem,Organization.identifier[0].system,string,false,copy,,,3,true
tw.gov.mohw.twcore,1.0.0,organization,organization.identifierValue,Organization.identifier[0].value,string,false,copy,,,4,true
tw.gov.mohw.twcore,1.0.0,organization,organization.active,Organization.active,boolean,false,copy,,,10,true
tw.gov.mohw.twcore,1.0.0,organization,organization.type,Organization.type[0].coding[0].code,string,false,code_map,organization-type,,40,true
tw.gov.mohw.twcore,1.0.0,organization,organization.name,Organization.name,string,true,copy,,,50,true
tw.gov.mohw.twcore,1.0.0,organization,organization.telecomSystem,Organization.telecom[0].system,string,false,code_map,contact-point-system,,70,true
tw.gov.mohw.twcore,1.0.0,organization,organization.telecomUse,Organization.telecom[0].use,string,false,code_map,contact-point-use,,80,true
tw.gov.mohw.twcore,1.0.0,organization,organization.telecomValue,Organization.telecom[0].value,string,false,copy,,,90,true
tw.gov.mohw.twcore,1.0.0,organization,organization.address,Organization.address[0].text,string,false,copy,,,100,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.identifierValue,PractitionerRole.identifier[0].use,string,false,constant,official,,1,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.identifierValue,PractitionerRole.identifier[0].type.coding[0].system,string,false,constant,http://terminology.hl7.org/CodeSystem/v2-0203,,2,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.identifierValue,PractitionerRole.identifier[0].type.coding[0].code,string,false,constant,MD,,3,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.idSystem,PractitionerRole.identifier[0].system,string,false,copy,,,4,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.identifierValue,PractitionerRole.identifier[0].value,string,false,copy,,,5,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.active,PractitionerRole.active,boolean,false,copy,,,10,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.practitionerId,PractitionerRole.practitioner.reference,string,false,build_reference,,Practitioner,20,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.organizationId,PractitionerRole.organization.reference,string,false,build_reference,,Organization,30,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.roleCode,PractitionerRole.code[0].coding[0].code,string,false,code_map,practitionerrole-role-code,,40,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.roleText,PractitionerRole.code[0].text,string,false,copy,,,41,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.specialtyCode,PractitionerRole.specialty[0].coding[0].code,string,false,code_map,practitionerrole-specialty-code,,50,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.periodStart,PractitionerRole.period.start,dateTime,false,copy,,,60,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.periodEnd,PractitionerRole.period.end,dateTime,false,copy,,,61,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.telecomSystem,PractitionerRole.telecom[0].system,string,false,code_map,contact-point-system,,70,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.telecomUse,PractitionerRole.telecom[0].use,string,false,code_map,contact-point-use,,80,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.telecomValue,PractitionerRole.telecom[0].value,string,false,copy,,,90,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.idSystem,Encounter.identifier[0].system,string,false,copy,,,10,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.id,Encounter.identifier[0].value,string,false,copy,,,11,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.status,Encounter.status,string,true,code_map,encounter-status,,20,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.class,Encounter.class.code,string,true,code_map,v3-ActCode,,30,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.type,Encounter.type[0].coding[0].code,string,false,code_map,encounter-type,,31,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.reasonCode,Encounter.reasonCode[0].coding[0].code,string,false,code_map,condition-code,,32,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.serviceType,Encounter.serviceType.coding[0].code,string,false,code_map,service-type,,35,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.serviceTypeText,Encounter.serviceType.text,string,false,copy,,,36,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.patientId,Encounter.subject.reference,string,true,build_reference,,Patient,40,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.periodStart,Encounter.period.start,dateTime,false,copy,,,50,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.periodEnd,Encounter.period.end,dateTime,false,copy,,,60,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.serviceProviderId,Encounter.serviceProvider.reference,string,false,build_reference,,Organization,70,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.participantType,Encounter.participant[0].type[0].coding[0].code,string,false,code_map,v3-ParticipationType,,80,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.practitionerId,Encounter.participant[0].individual.reference,string,false,build_reference,,Practitioner,90,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.periodStart,Encounter.participant[0].period.start,dateTime,false,copy,,,91,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.periodEnd,Encounter.participant[0].period.end,dateTime,false,copy,,,92,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.conditionId,Encounter.diagnosis[0].condition.reference,string,false,build_reference,,Condition,100,true
tw.gov.mohw.twcore,1.0.0,encounter,encounter.diagnosisUse,Encounter.diagnosis[0].use.coding[0].code,string,false,code_map,diagnosis-role,,110,true
