source_code,target_code,target_display,target_system,display_zh_tw,is_active
active,active,Active,http://hl7.org/fhir/CodeSystem/medicationrequest-status,活躍/執行中,true
on-hold,on-hold,On Hold,http://hl7.org/fhir/CodeSystem/medicationrequest-status,暫停,true
cancelled,cancelled,Cancelled,http://hl7.org/fhir/CodeSystem/medicationrequest-status,已取消,true
completed,completed,Completed,http://hl7.org/fhir/CodeSystem/medicationrequest-status,已完成,true
entered-in-error,entered-in-error,Entered in Error,http://hl7.org/fhir/CodeSystem/medicationrequest-status,輸入錯誤,true
stopped,stopped,Stopped,http://hl7.org/fhir/CodeSystem/medicationrequest-status,停止,true
draft,draft,Draft,http://hl7.org/fhir/CodeSystem/medicationrequest-status,草稿,true
unknown,unknown,Unknown,http://hl7.org/fhir/CodeSystem/medicationrequest-status,未知,true
