source_code,target_code,target_display,target_system,display_zh_tw,is_active
registered,registered,Registered,http://hl7.org/fhir/diagnostic-report-status,已登記 (檢體已收),true
partial,partial,Partial,http://hl7.org/fhir/diagnostic-report-status,部分完成,true
preliminary,preliminary,Preliminary,http://hl7.org/fhir/diagnostic-report-status,初步報告,true
final,final,Final,http://hl7.org/fhir/diagnostic-report-status,最終報告,true
amended,amended,Amended,http://hl7.org/fhir/diagnostic-report-status,已補充/修正,true
corrected,corrected,Corrected,http://hl7.org/fhir/diagnostic-report-status,已更正,true
appended,appended,Appended,http://hl7.org/fhir/diagnostic-report-status,已附加,true
cancelled,cancelled,Cancelled,http://hl7.org/fhir/diagnostic-report-status,已取消,true
entered-in-error,entered-in-error,Entered in Error,http://hl7.org/fhir/diagnostic-report-status,輸入錯誤,true
