source_code,target_code,target_display,target_system,display_zh_tw,is_active
unconfirmed,unconfirmed,Unconfirmed,http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,未確認,true
confirmed,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,已確認,true
refuted,refuted,Refuted,http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,已排除,true
entered-in-error,entered-in-error,Entered in Error,http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,輸入錯誤,true
