source_code,target_code,target_display,target_system,display_zh_tw,is_active
Al-M0041,293873001,Sedative allergy,http://snomed.info/sct,鎮靜劑過敏,true
Al-M0042,293885009,Benzodiazepine sedative allergy,http://snomed.info/sct,苯二氮平類鎮靜劑過敏,true
Al-M0043,293902006,Diazepam allergy,http://snomed.info/sct,地西泮（安定）過敏,true
Al-M0044,293903001,Lorazepam allergy,http://snomed.info/sct,勞拉西泮過敏,true
Al-M0045,293904007,Temazepam allergy,http://snomed.info/sct,替馬西泮過敏,true
Al-M0046,293913009,Neuroleptic allergy,http://snomed.info/sct,神經阻斷劑（抗精神病藥）過敏,true
Al-M0047,293924006,Haloperidol allergy,http://snomed.info/sct,氟哌啶醇過敏,true
Al-M0048,293962009,Beta-adrenoceptor blocking drug allergy,http://snomed.info/sct,乙型交感神經阻斷劑過敏,true
Al-M0049,293982008,Propranolol allergy,http://snomed.info/sct,普萘洛爾過敏,true
Al-M0050,293965006,Atenolol allergy,http://snomed.info/sct,阿替洛爾過敏,true
Al-M0051,293970004,Metoprolol allergy,http://snomed.info/sct,美托洛爾過敏,true
Al-M0052,293994004,Calcium-channel blocker allergy,http://snomed.info/sct,鈣離子通道阻斷劑過敏,true
Al-M0053,293996002,Nifedipine allergy,http://snomed.info/sct,硝苯地平過敏,true
Al-M0054,294002003,Amlodipine allergy,http://snomed.info/sct,氨氯地平過敏,true
Al-M0055,294003008,Diltiazem allergy,http://snomed.info/sct,地爾硫䓬過敏,true
Al-M0056,294005001,Verapamil allergy,http://snomed.info/sct,維拉帕米過敏,true
Al-M0057,294065003,Anticholinergic allergy,http://snomed.info/sct,抗膽鹼藥物過敏,true
Al-M0058,294076004,Atropine allergy,http://snomed.info/sct,阿托品過敏,true
Al-M0059,294162002,Allergy to inhaled corticosteroids,http://snomed.info/sct,吸入型皮質類固醇過敏,true
Al-M0060,294216002,Uricosuric agent allergy,http://snomed.info/sct,促進尿酸排泄藥物過敏,true
Al-M0061,294220003,Allopurinol allergy,http://snomed.info/sct,別嘌醇過敏,true
Al-M0062,294221004,Skeletal muscle relaxant allergy,http://snomed.info/sct,骨骼肌鬆弛劑過敏,true
Al-M0063,293798009,Cyclosporin allergy,http://snomed.info/sct,環孢素過敏,true
Al-M0064,294340008,Antifungal drug allergy,http://snomed.info/sct,抗黴菌藥物過敏,true
Al-M0065,294349009,Amphotericin allergy,http://snomed.info/sct,兩性黴素過敏,true
Al-M0066,294362008,Ketoconazole allergy,http://snomed.info/sct,酮康唑過敏,true
Al-M0067,294365005,Fluconazole allergy,http://snomed.info/sct,氟康唑過敏,true
Al-M0068,294367002,Antiviral drug allergy,http://snomed.info/sct,抗病毒藥物過敏,true
Al-M0069,294384008,Aciclovir allergy,http://snomed.info/sct,阿昔洛韋過敏,true
