source_code,target_code,target_display,target_system,display_zh_tw,is_active
proposal,proposal,Proposal,http://hl7.org/fhir/CodeSystem/medicationrequest-intent,提議,true
plan,plan,Plan,http://hl7.org/fhir/CodeSystem/medicationrequest-intent,計畫,true
order,order,Order,http://hl7.org/fhir/CodeSystem/medicationrequest-intent,醫令/處方,true
original-order,original-order,Original Order,http://hl7.org/fhir/CodeSystem/medicationrequest-intent,原始醫令,true
reflex-order,reflex-order,Reflex Order,http://hl7.org/fhir/CodeSystem/medicationrequest-intent,反射醫令,true
filler-order,filler-order,Filler Order,http://hl7.org/fhir/CodeSystem/medicationrequest-intent,填充醫令,true
instance-order,instance-order,Instance Order,http://hl7.org/fhir/CodeSystem/medicationrequest-intent,實例醫令,true
option,option,Option,http://hl7.org/fhir/CodeSystem/medicationrequest-intent,選項,true
