source_code,target_code,target_display,target_system,display_zh_tw,is_active
registered,registered,Registered,http://hl7.org/fhir/observation-status,已登記/準備中,true
preliminary,preliminary,Preliminary,http://hl7.org/fhir/observation-status,初步結果,true
final,final,Final,http://hl7.org/fhir/observation-status,最終結果,true
amended,amended,Amended,http://hl7.org/fhir/observation-status,已修正,true
corrected,corrected,Corrected,http://hl7.org/fhir/observation-status,已更正,true
cancelled,cancelled,Cancelled,http://hl7.org/fhir/observation-status,已取消,true
entered-in-error,entered-in-error,Entered in Error,http://hl7.org/fhir/observation-status,輸入錯誤,true
unknown,unknown,Unknown,http://hl7.org/fhir/observation-status,未知,true
